url,lat,long,district,neighborhood
https://live.staticflickr.com/8790/28308123815_99a9533173.jpg,41.384271,2.176183,Ciutat Vella,"el Barri Gòtic
"
https://live.staticflickr.com/65535/49771971676_713416c118.jpg,41.375805,2.177964,Ciutat Vella,"el Barri Gòtic
"
https://live.staticflickr.com/3002/2814274154_8cd53b36b1.jpg,41.40036,2.180914,Eixample,el Fort Pienc
https://live.staticflickr.com/2680/4324456481_97670caba4.jpg,41.40036,2.180914,Eixample,el Fort Pienc
https://live.staticflickr.com/4835/45333422864_37edbfa88a.jpg,41.386025,2.1729,Ciutat Vella,"el Barri Gòtic
"
https://live.staticflickr.com/7849/33601258808_7cce888fd0.jpg,41.381401,2.175432,Ciutat Vella,"el Barri Gòtic
"
https://live.staticflickr.com/65535/49126597306_7eda6ed927.jpg,41.379529,2.172503,Ciutat Vella,"el Raval
"
https://live.staticflickr.com/7874/47387754692_954a704966.jpg,41.392199,2.164607,Eixample,"la Dreta de l'Eixample
"
https://live.staticflickr.com/7127/7127680693_542b1fd809.jpg,41.421096,2.119653,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes
"
https://live.staticflickr.com/4898/46061237341_6ca031bb1c.jpg,41.390517,2.166999,Eixample,"la Dreta de l'Eixample
"
https://live.staticflickr.com/65535/48187116702_3c522bbd67.jpg,41.397085,2.17349,Eixample,"la Dreta de l'Eixample
"
https://live.staticflickr.com/4835/32443645217_b49f07d4da.jpg,41.394179,2.204775,Sant Martí,"el Poblenou i Diagonal Mar

"
https://live.staticflickr.com/7874/47488638002_9197177fa3.jpg,41.383506,2.176601,Ciutat Vella,"el Barri Gòtic
"
https://live.staticflickr.com/3187/2774279994_ecb0cd4160.jpg,41.421635,2.118172,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes
"
https://live.staticflickr.com/3038/2774282334_c37a5459c3.jpg,41.421635,2.118172,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes
"
https://live.staticflickr.com/3049/2774281696_62d37605b0.jpg,41.421635,2.118172,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes
"
https://live.staticflickr.com/7841/32212549277_ce2cb8382f.jpg,41.383177,2.124502,Les Corts,"la Maternitat i Sant Ramon
"
https://live.staticflickr.com/7029/6418464991_b14691760f.jpg,41.383598,2.180582,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera
"
https://live.staticflickr.com/6225/6418515839_ff28cb23b1.jpg,41.395016,2.161753,Eixample,"la Dreta de l'Eixample
"
https://live.staticflickr.com/7144/6425833423_78f4598ed4.jpg,41.384053,2.170915,Ciutat Vella,"el Raval
"
